# Pemetaan alamat pendek -> folder tujuan
# Format:  kode|folder|judul
# Ubah berkas ini bila struktur folder berubah, lalu jalankan buat-pengalih.sh
b1|bab-01-konsep-arsitektur|Bab 1 - Konsep dan Arsitektur IoT
b2|bab-02-perangkat-keras|Bab 2 - Perangkat Keras IoT
b3|bab-03-pemrograman-esp32|Bab 3 - Pemrograman ESP32
b4|bab-04-konektivitas|Bab 4 - Konektivitas dan Jaringan IoT
b5|bab-05-protokol-komunikasi|Bab 5 - Protokol Komunikasi IoT
b6|bab-06-platform-cloud|Bab 6 - Integrasi Platform Cloud IoT
b7|bab-07-basisdata|Bab 7 - Basis Data dan Visualisasi Data IoT
b8|bab-08-edge-analitik|Bab 8 - Edge/Fog Computing dan Analitik Data
b9|bab-09-keamanan|Bab 9 - Keamanan dan Privasi Sistem IoT
b10|bab-10-penerapan-domain|Bab 10 - Penerapan IoT pada Domain Nyata
b11|bab-11-proyek-end-to-end|Bab 11 - Perancangan Proyek IoT End-to-End
